student_country,days_on_platform,minutes_watched,courses_started,practice_exams_started,practice_exams_passed,minutes_spent_on_exams,purchased
NG,129,44.9,1,1,1,5.18,0
PK,123,17.7,1,1,0,16,0
SA,236,2235.3,11,25,14,121.23,0
IN,129,43.4,1,2,2,6.82,0
JO,118,20.3,1,1,0,9.73,0
NP,117,151,2,2,1,6.88,0
IN,118,23.4,1,1,0,1.62,0
PK,124,132.6,3,1,1,7.37,0
TR,122,98.2,1,1,0,4.53,0
AO,127,37.2,1,1,1,9.57,0
IN,129,985.6,9,9,7,120.7,0
US,114,35.3,1,2,1,6.11,0
US,139,7.9,1,1,0,15,0
US,114,10.8,1,2,0,15.92,0
RS,111,3.4,1,2,1,19.35,0
BR,118,240.4,2,1,1,1.02,0
IN,128,97.7,4,5,5,25.2,0
IN,118,73.1,2,1,1,3.58,0
IN,5,57.7,1,1,0,15,1
NL,0,143.6,1,3,2,12.55,1
EG,140,307.2,3,2,0,11.13,0
KE,162,11.3,2,1,0,9.07,0
EG,109,33.5,1,3,2,12.09,0
CA,14,107.3,1,1,1,6.8,1
SG,4,177.6,4,4,4,10.34,1
AE,1,155,1,3,2,21.95,1
ID,114,34.1,2,1,1,15.43,0
DK,108,13.8,1,1,0,16,0
US,128,671.6,5,1,0,12,0
GB,3,84,1,1,0,12,1
US,108,41.1,1,1,1,2.72,0
CO,108,1061.8,7,20,17,147.13,0
CA,1,79.9,1,1,1,2.97,1
NG,109,60,1,1,0,5.55,0
DE,230,124.6,1,1,0,6.23,0
ID,108,46.5,1,1,1,4.2,0
US,115,5312.3,14,76,63,457.41,0
VN,184,73.1,3,2,2,8.7,0
GH,111,71.1,1,1,1,5.37,0
MA,107,40.6,1,1,0,3.62,0
US,112,148.7,3,5,3,25.59,0
IN,106,41,1,3,2,3.08,0
IN,189,65.6,3,2,1,10.52,0
AU,106,36.4,1,2,1,3.86,0
PH,106,103.5,2,4,3,11.41,0
KE,107,43.8,1,2,1,7.75,0
US,2,131.9,1,6,4,17.67,1
PH,109,51.4,1,2,2,3.72,0
CA,0,41.9,1,4,2,3.1,1
US,106,84.4,1,3,1,13.03,0
PK,106,83,1,3,2,4.57,0
BG,106,45.7,1,1,1,2.8,0
GH,110,1.4,1,1,0,8,0
SA,1,64.4,1,2,1,11.23,1
BD,106,44.1,1,1,1,4.38,0
US,6,49.5,1,2,2,10.92,1
NG,107,44.7,1,3,2,6.07,0
NG,107,43.8,1,1,0,2.8,0
IN,287,102.9,1,3,3,15.56,0
US,18,92.5,1,3,2,4.4,1
US,3,58.1,1,1,0,4.5,1
US,104,1.1,1,2,2,7.37,0
GB,0,104.4,1,5,5,13.88,1
AE,45,346.5,7,8,6,20.88,1
IN,109,0.1,1,1,0,3.75,0
NG,109,43.3,1,2,1,15.68,0
UA,0,40.9,1,1,0,3.15,1
SV,104,0.9,1,1,0,10,0
TR,104,47,1,2,2,5.07,0
US,0,108.1,1,1,1,3.8,1
US,104,42.8,3,4,1,21.14,0
TR,110,59.8,1,1,1,10.53,0
US,125,27.9,1,1,1,5.78,0
PT,104,52.1,1,2,1,6.48,0
KR,107,333.5,3,13,11,56.75,0
CA,103,52.5,1,2,2,6.85,0
PH,103,41.2,1,1,1,2.92,0
AU,1,70.3,1,1,1,3.27,1
IL,103,149,1,4,3,17.95,0
BE,102,24.9,1,2,2,15.15,0
IN,102,57.5,1,3,2,3.8,0
EG,103,43.3,1,1,0,2.77,0
GH,104,43.2,1,2,2,6.43,0
VN,131,40.1,1,2,1,8.86,0
BG,102,29.5,2,2,1,10.52,0
NG,121,50.6,1,2,1,8,0
US,0,41.5,1,4,3,11.65,1
EG,102,43.3,1,2,1,10.03,0
TW,108,54.6,1,1,1,10.02,0
IN,101,0.7,1,1,0,12,0
US,11,69.2,1,3,3,6.32,1
PT,21,80.6,2,1,1,8.15,1
US,101,0.5,1,1,0,2.95,0
IN,101,94.7,1,3,2,15.03,0
IT,105,1077.2,7,35,24,101.95,0
RU,101,302.1,5,5,3,34.93,0
IN,102,80.9,1,2,2,18.22,0
IN,101,414,3,9,6,22.95,0
IN,121,50.9,1,2,1,6.12,0
US,101,18.8,1,1,1,3.98,0
EG,102,202.9,3,5,5,17.99,0
US,1,303.3,1,7,6,10.3,1
NZ,104,45.2,1,2,1,10.63,0
US,1,69.9,2,1,0,10,1
EG,100,23.9,1,1,1,3.08,0
IN,104,81.4,1,2,1,5.38,0
CH,100,46.9,1,1,1,6.6,0
ZA,100,66.8,1,2,1,7.73,0
GB,3,128.7,2,2,2,6.05,1
NL,191,41.5,2,2,1,11.27,0
IN,99,34.5,1,1,1,5.65,0
ET,101,83.4,2,2,1,10.83,0
DE,101,35.3,1,1,1,7.82,0
US,0,34.3,1,2,2,8.21,1
NG,100,74,3,2,1,10.02,0
NG,101,32.4,1,2,1,4.95,0
KE,103,58.8,1,2,1,6.73,0
EG,99,83.9,3,5,4,25.42,0
IN,98,40.6,1,3,1,12.32,0
IT,23,65.4,1,1,1,7.23,1
DE,0,62.4,1,2,2,3.78,1
EG,98,82.4,1,3,3,16.67,0
US,98,37.9,1,2,1,4.75,0
NG,101,48.4,1,2,1,4.85,0
EG,98,127.7,2,1,1,7.97,0
PH,128,648.7,5,1,1,3.35,0
IN,98,40.3,1,2,1,7.5,0
LY,98,52.1,2,3,1,15.55,0
GB,8,119.2,1,3,3,8.95,1
GB,0,169.9,1,2,1,3.85,1
US,100,77.1,1,2,2,6.4,0
NG,154,48,1,4,3,6.19,0
UA,97,211.1,3,2,2,8.38,0
GH,96,66.9,1,1,1,9.98,0
US,96,43.8,1,2,1,2.87,0
AE,97,127.7,1,3,2,27.42,0
IN,106,43.8,1,2,1,2.87,0
EG,99,133.7,1,2,2,20,0
US,0,137.6,1,6,5,21.43,1
IN,97,41.2,1,1,0,3.4,0
US,0,56.7,1,2,2,3.17,1
US,18,62.9,1,3,3,3.24,1
CA,95,54.4,1,2,1,5.65,0
GH,101,42.6,1,1,0,2.53,0
IN,99,0.7,1,1,0,15,0
ID,2,82.1,1,2,2,8.75,1
AE,198,86.2,1,3,1,10.35,0
AU,103,50.4,1,1,0,6.87,0
NG,105,46.7,3,2,1,10.45,0
IN,99,616.1,4,12,10,65.24,0
AU,282,211,2,1,1,11.5,0
EG,126,94.8,1,4,4,20.55,0
US,2,45.4,1,1,1,2.95,1
MU,289,6.3,1,1,0,1.18,0
IN,0,140.5,1,8,5,21.24,1
EG,94,28.1,1,2,1,2.89,0
US,14,53.6,1,1,1,4.37,1
ZA,94,44,1,2,2,4.57,0
ZA,96,86,1,1,1,5.2,0
CO,93,6.3,1,1,1,3.07,0
PK,190,47.1,1,3,2,5.54,0
KE,3,117.2,1,2,2,12.5,1
IN,114,59.7,1,1,1,8.3,0
US,60,78.4,2,2,1,2.73,1
US,93,64.7,1,4,2,14.67,0
DZ,93,558.3,4,9,2,63.67,0
US,67,110,2,1,1,7.6,1
SG,0,53.2,1,2,2,3.95,1
US,0,60.4,1,1,1,2.3,1
IN,92,38.1,1,1,1,6.28,0
UG,92,42.3,1,4,4,8.26,0
US,97,10.5,1,4,2,4,0
RU,93,103,1,1,1,8.33,0
EG,92,109.1,2,3,2,4.74,0
EG,9,134.1,1,2,1,22.49,1
US,92,41,1,4,3,4.25,0
US,1,89.7,1,1,1,2.75,1
AU,11,42.1,1,2,2,9.7,1
GB,6,158.5,3,2,2,2.95,1
PL,94,39.6,1,1,0,6.73,0
US,153,8.9,2,2,1,3.04,1
US,0,47.4,1,3,1,8.82,1
UZ,92,89,1,1,0,2.63,0
GE,91,47.4,2,1,0,5.77,0
US,95,81,2,4,1,9.29,0
CA,7,154.6,1,4,2,7.4,1
CI,100,155.5,3,4,3,21.62,0
IN,91,41.2,1,3,2,3.14,0
NG,94,44.6,1,2,2,10.68,0
NL,174,37.5,2,1,1,3.73,1
CY,92,44.9,1,2,2,5.65,0
US,0,60.2,1,1,1,2.12,1
US,0,28.1,1,1,1,3.18,1
NG,125,169,2,3,2,15.73,0
IN,110,45.4,1,1,0,8,0
LK,89,69.5,1,2,2,10.55,0
IN,164,78.9,1,1,1,4.92,0
IN,89,39.6,1,1,0,2.38,0
EG,92,35.2,1,1,1,3.53,0
SG,89,46.5,1,2,2,4.7,0
GH,89,38.9,1,3,1,18.28,0
US,0,66.6,1,2,2,7.4,1
DE,10,65.7,1,1,1,2.48,1
DZ,89,283.2,4,7,3,68.22,0
GB,94,0.1,1,1,0,6.05,0
GB,0,60,1,1,1,6.93,1
GB,125,70,1,1,0,0.83,0
PK,91,43.3,1,1,1,3.53,0
NA,88,58.1,1,2,2,11.2,1
PH,2,150.8,1,4,3,10.64,1
ID,101,41.4,1,2,2,6.62,0
IN,89,117.6,3,1,1,3.02,0
CN,79,81.2,1,1,1,5.32,1
BG,187,18.9,1,3,3,6.89,0
PL,0,104.2,1,6,4,10.23,1
US,15,68.6,1,1,0,2.12,1
BS,192,68.9,1,1,1,8.38,0
CN,86,1.3,2,1,0,1.55,0
CA,60,303.3,8,3,2,25.42,1
US,0,166.5,1,6,6,27.68,1
NG,1,123.1,1,6,6,22.94,1
NG,1,60.8,1,1,0,3.03,1
AZ,106,71.6,3,2,1,5.57,0
GB,37,184.2,1,7,6,13.82,1
IN,115,46.4,1,2,1,4.22,1
IN,87,9.8,1,2,1,3.53,0
IN,86,1.4,1,1,0,10,0
US,86,711.2,5,4,4,14.95,0
CA,0,115.3,1,5,5,8.38,1
AR,87,113.9,2,2,1,11.94,0
ES,28,106,2,2,1,5.04,1
US,0,67.1,1,2,1,5.97,1
GR,86,41.2,1,2,2,4.13,0
US,0,144.4,1,8,6,20.43,1
NA,86,43,1,2,2,12.96,0
GB,94,58.9,1,1,1,4.72,0
IN,86,82,3,2,1,5.73,0
US,278,20.6,3,9,5,111.24,0
SA,89,47.7,1,2,1,9.87,0
US,85,584.5,6,14,10,104.89,0
GB,0,62.6,1,1,0,5.62,1
US,2,68.8,1,2,1,5.77,1
US,1,43.1,1,2,1,2.3,1
PL,90,40.6,2,1,1,6.03,0
JP,9,165.2,2,9,8,17.99,1
DE,204,40.9,1,1,1,2.6,1
TR,86,0.7,1,1,0,15.02,0
SL,84,109.7,2,2,2,10.02,0
GT,0,58.7,1,8,4,7.1,1
GB,0,51.1,1,1,1,4.05,1
US,85,43.6,1,1,1,2.28,0
CO,90,385.8,2,10,8,50.18,0
EG,201,38.1,4,1,1,13.08,0
IN,244,6.8,1,4,4,10.24,0
AU,0,143.1,1,6,5,16.68,1
IN,84,1950.8,5,1,1,9.77,0
EG,164,80.9,16,2,0,23,0
PK,246,0.4,2,1,0,9.4,0
SA,84,99.2,1,2,1,8.44,0
PT,83,37.7,1,4,3,2.55,0
PH,83,17.2,1,1,0,14.47,0
AZ,82,2.9,1,2,0,3.63,0
DE,83,47.2,1,1,0,3,0
MA,84,48.1,1,1,1,4.1,0
US,83,46.2,1,2,1,2.05,0
IT,82,58.4,1,1,0,1.9,0
NG,6,100.6,1,1,0,6.58,1
PK,82,0.2,1,1,1,2.47,0
JO,89,42.2,1,1,1,4.97,0
US,95,486.2,2,9,9,31.74,0
GB,86,1059.8,6,20,18,84.01,0
IN,81,43.5,1,2,1,3.21,0
IN,82,48.1,1,1,1,3.97,0
GB,82,2.3,1,1,0,2.23,0
IT,81,92.3,1,2,1,9.2,0
GB,82,348.2,4,2,2,3.3,0
DE,82,46,2,2,1,4.62,0
IN,84,48.3,2,1,1,16,0
IN,82,58.2,1,1,1,9.18,0
BG,118,79.3,2,1,1,2.17,0
GB,94,68.6,2,2,0,6.39,0
US,83,152.1,1,2,2,6.97,0
RU,83,118.9,1,2,2,5.68,0
IN,80,41.1,1,3,2,3.92,0
IN,80,99.6,1,2,0,20.22,0
EG,123,102.9,1,3,2,15.48,0
EG,81,0.1,1,5,3,10.94,0
EG,83,75,1,2,2,10.73,0
ZA,81,37.6,1,5,0,12.77,0
PK,6,19.9,5,1,0,15,1
US,89,68.6,2,1,1,5.8,0
US,80,45,1,1,1,2.27,0
BR,80,300.6,3,4,3,30.52,0
GH,80,264.8,2,6,5,37.4,0
ID,80,48.5,1,2,1,8.1,0
VN,80,42,1,1,1,4.2,0
IN,80,492.1,2,2,1,12.08,0
SO,80,55.7,3,1,1,3.5,0
IN,91,49.5,1,2,2,3.11,0
GB,195,185.4,4,1,0,20,0
TR,4,183.5,1,7,4,18.77,1
DZ,1,23.4,2,3,3,3.55,1
IN,79,35.7,1,5,2,22.4,0
US,42,113.6,1,3,2,9.08,1
RO,115,1.4,1,1,0,20,0
IN,0,43.9,1,1,1,2.37,1
US,79,14.1,2,1,1,5.52,0
NG,80,41.6,1,1,0,2.55,0
US,133,388.6,5,2,2,29.57,0
IN,78,39.9,1,1,1,1.6,0
ID,78,425.9,4,13,10,51.37,0
DO,80,172,1,1,1,5.32,0
IN,80,87.2,1,2,2,4.23,0
PK,78,43.8,1,3,2,8.21,0
US,5,95.4,1,2,2,9.67,1
EG,114,99.5,2,6,5,12.75,0
US,78,45.4,1,4,3,5.05,0
US,124,68.1,2,2,2,11.32,0
HK,84,4.1,2,1,0,12,0
IN,77,1.4,1,1,0,5.8,0
AZ,3,69.4,1,1,1,8.17,1
NG,77,40.4,1,3,1,14.88,0
IN,77,106.4,1,2,2,15,0
SE,79,70.4,1,1,0,4.17,0
IN,270,162.6,14,2,0,13.8,0
NG,233,104.3,4,1,1,20,0
US,1,43.6,1,2,2,3.69,1
MX,77,199.8,1,18,15,55.62,0
KE,139,183.4,3,3,2,5.92,0
BE,2,102.4,1,1,1,2.8,1
FR,76,1.1,1,1,0,15,0
DE,4,134.8,1,5,4,14.14,1
US,83,1362.7,6,21,13,129.01,0
CA,78,90,1,1,1,3.65,0
CA,0,45.2,1,3,2,4.88,1
US,138,46.7,1,2,1,5.07,0
IN,78,45.3,1,1,1,3.82,0
GH,82,43.1,1,2,1,5.45,0
IN,75,44.8,1,1,0,2.97,0
NG,96,46.4,1,2,1,11.14,0
DE,81,47,1,1,1,8.75,0
NG,75,47.3,1,3,1,5.83,0
US,171,234.5,2,4,4,41.09,0
MY,76,42.1,2,1,1,6.62,0
US,100,77.7,1,1,0,3.92,0
AT,281,1265.9,7,5,3,14.26,0
SA,74,70.5,3,3,2,13.94,0
RS,18,355.1,2,7,7,71.48,1
LT,0,48.9,1,1,1,2.65,1
CR,76,102.2,2,3,2,6.55,1
EG,74,140.1,3,3,1,16.22,0
NG,77,53.4,1,2,1,7.2,0
VN,74,50,1,2,2,5.37,0
EG,131,89.2,1,1,1,9.93,0
US,75,30.1,1,1,0,3.93,0
GB,74,128.2,1,4,4,15.45,0
CA,73,67.8,1,1,1,3.47,0
US,4,77.5,2,1,1,7.05,1
US,85,37.7,1,2,1,2.98,0
EG,12,33.7,1,2,2,4.12,1
CA,74,44.7,1,2,1,7.91,0
CA,73,48,1,2,2,7.15,0
US,2,77.3,2,1,1,5.3,1
SG,7,68.5,1,2,2,3.3,1
KE,72,86.4,1,3,3,19.13,0
NG,74,89.6,1,1,0,5.77,0
US,79,79.5,2,2,2,2.77,0
BR,73,244.1,2,3,3,10.63,0
DE,73,50.1,1,3,3,4.13,0
NG,73,45.4,1,2,2,3.71,0
IN,72,34.8,1,1,0,5.05,0
DE,5,64.4,2,1,1,4.53,1
BE,99,87.6,2,20,17,46.13,0
GB,72,48.4,1,3,2,20.85,0
PL,75,44.2,2,1,1,2.92,0
US,72,59.7,2,2,1,4.35,0
MA,78,42.1,1,2,2,4.86,0
KR,72,196.6,3,7,6,34.67,0
CA,72,77.9,1,4,1,20.73,0
VN,72,60.1,1,2,1,6.23,0
AL,78,279.3,3,1,1,7.43,0
CM,71,161.7,1,5,4,50.7,0
ID,71,65.1,1,1,1,6.53,0
TH,90,36.3,2,2,1,4.07,0
DE,74,72.4,1,1,0,9.75,0
US,73,131.1,4,2,1,6.98,0
DE,74,18.4,1,2,1,2.97,0
SG,76,1.5,1,1,0,10,0
AT,71,38.2,1,1,0,2.88,0
NL,197,42.8,1,1,1,2.22,0
NG,70,54.6,1,4,4,33.25,0
EG,70,86.7,1,1,1,3.32,0
DE,70,18.3,1,1,1,3.67,0
CA,0,45.9,1,5,4,8.23,1
ET,70,31.1,1,2,1,8.08,0
JM,70,41.4,1,2,1,8.92,0
NL,70,37.5,1,2,2,2.85,0
DE,136,249.5,5,29,20,99.46,0
NG,162,96.2,1,2,2,19.63,0
EG,71,41.2,1,1,1,4.02,0
US,70,43.6,1,1,1,2.95,0
IN,70,71.3,1,1,1,5.67,0
OM,224,859.9,3,25,21,80.51,0
DZ,69,3.4,1,1,0,15,0
ID,112,491.1,7,6,4,60.86,0
PK,241,16.7,2,5,3,23.41,0
NG,127,111.7,2,2,2,20,0
IN,69,0.1,1,8,1,5.47,0
PT,78,43.5,1,5,5,5.4,0
IN,70,1168.1,5,18,12,101.72,0
IT,2,260.7,2,5,3,34.93,1
IN,238,20.7,1,4,3,5.82,0
IN,69,1.1,1,1,1,5,0
GB,102,1141.7,6,48,25,16.81,0
GB,69,25,1,2,0,25.17,0
NG,89,219.9,2,3,3,34.56,0
US,11,217.4,3,6,5,16.1,1
NG,84,52.4,1,4,3,4.58,0
IN,170,82.6,2,1,0,10,0
IN,69,39,1,1,1,7.35,0
IN,69,668.2,2,7,6,56.9,0
NL,70,122.1,3,2,2,5.67,0
GB,69,40.5,1,1,0,3.58,0
NA,70,801.2,3,20,10,64.82,0
KE,70,44.6,1,2,2,5.32,0
AU,68,21.4,1,2,2,6.68,0
EG,70,121.6,2,2,2,9.15,0
EG,101,41.2,3,1,1,6.17,0
US,68,57.1,1,2,1,3.08,0
IN,70,139.3,1,3,3,18.36,0
IN,67,91.2,1,2,2,16.5,0
NL,67,0.8,1,1,0,1.32,0
GB,81,1835.4,8,31,19,82.07,0
CA,67,303.1,3,4,4,21.62,0
IN,67,1,1,8,4,47.69,0
US,51,301.4,5,2,2,9.62,1
EG,76,31.1,1,1,1,10,0
US,112,561.3,4,20,19,126.01,0
IN,67,48.6,1,2,1,3.46,0
IN,88,61.4,1,1,1,3.78,0
IN,69,222.5,1,3,2,21.53,0
US,67,35.3,1,10,7,23.74,0
ID,69,188.7,1,6,6,22.42,0
IN,89,187.4,2,3,2,10.73,1
GB,66,86.6,2,2,2,10.84,0
IN,152,162,2,8,4,21.32,0
NP,240,35.9,1,3,3,7.13,0
AE,223,519.2,3,18,11,48.48,0
IN,166,81.3,1,8,4,28.32,0
KE,99,242.3,1,3,3,40.42,0
PK,242,68.7,2,2,1,15.05,0
NG,74,347.1,1,7,3,54.36,0
FR,284,446.8,3,14,10,30.06,0
NA,121,241.9,2,3,3,21.29,0
IN,66,24.1,1,1,0,4.23,0
IN,126,162.1,2,1,0,0.88,0
PH,92,534.2,4,7,2,24.74,0
DE,66,122,4,10,6,20.51,0
IN,108,307,3,5,5,37.73,0
EG,67,0.7,1,1,0,15,0
DE,172,76.7,2,2,2,4.42,0
DE,67,39.1,1,2,1,13.9,0
BG,66,369.2,2,5,1,6.69,0
IN,141,75.2,4,1,1,2.15,0
US,66,69,2,7,7,31.72,0
IQ,66,10.1,1,2,0,1.4,0
KE,66,71.1,2,15,9,37.52,0
MD,117,41.4,3,1,1,2.6,0
IN,109,202.8,1,5,4,36.78,0
IT,104,145.1,4,3,0,8.26,0
EG,66,487.6,2,18,12,78.01,0
IN,66,2.2,1,4,2,5.37,0
NL,66,113.8,2,3,3,14.92,0
ZA,122,137,2,44,22,47.23,0
EG,66,64.2,1,3,2,11.45,0
NG,73,82.3,1,1,1,5.95,0
LB,66,171.5,2,12,8,82.31,0
US,86,740.3,3,20,18,40.1,0
IN,66,4.7,1,1,0,2.12,0
IN,66,241.6,1,9,7,51.37,0
EG,66,519.7,4,20,14,151.77,0
IN,66,50.2,1,10,6,10.18,0
MX,127,44.7,1,2,1,5.5,0
ZA,66,10.9,1,3,1,19.12,0
NG,66,390.1,2,7,5,103.43,0
ZA,66,120.3,2,6,4,18.39,0
EG,131,1206.9,3,15,9,110.09,0
IN,107,1036.2,7,4,2,18.19,1
EG,66,216.1,2,3,3,16.53,0
EG,66,291.5,3,4,2,11.57,0
IN,67,102.6,4,1,0,25,0
EG,66,519.6,4,16,13,82.01,0
AU,66,32.1,2,1,1,7.17,0
SG,210,1406.2,4,4,1,9.8,0
SE,73,426.5,3,10,9,72.69,0
FR,78,278,2,7,4,23.99,0
EC,155,357.2,1,2,1,23.68,0
BR,244,139.9,2,5,5,16.52,0
FR,66,61.1,2,1,0,10,0
IN,66,70.9,2,1,0,5.7,0
VN,66,50.8,1,1,0,4.77,0
EG,66,188.6,3,4,3,54.45,0
EG,66,112,3,9,6,57.66,0
EG,66,510.3,3,12,5,68.58,0
CO,162,240.8,5,7,7,32.69,0
NP,66,684.3,2,8,7,36.7,0
IN,113,38.8,3,1,0,0.8,0
IN,66,255.2,2,6,3,30.84,0
PK,67,119.6,1,2,1,28,0
IN,250,110.2,3,1,0,14.98,0
EG,246,65.4,1,2,2,18.4,0
NL,67,546.4,3,9,5,88.45,0
LB,66,258.8,2,9,7,35.49,0
PK,66,143.5,2,4,2,26.13,0
TN,66,81.5,1,3,1,16.2,0
EG,66,25.6,1,8,5,29,0
US,66,73,1,1,1,3.75,0
YE,66,187.2,2,10,2,35.54,0
EG,179,115.1,3,1,1,3.35,0
EG,66,94.2,1,7,6,37.24,0
FR,76,1149.7,3,4,0,10.94,0
ZA,66,5.7,2,18,18,8.28,0
NI,66,126.5,2,10,5,88.57,0
CI,259,167.1,2,15,13,55.22,0
EG,66,131.6,1,14,6,73.27,0
EG,66,441.8,3,11,7,59.57,0
EG,66,236.7,2,10,6,30.27,0
GB,134,338.9,2,5,4,53.24,0
EG,66,466.4,2,17,14,62.59,0
US,66,53.4,1,2,1,4.1,0
NG,249,32.4,1,16,12,87.71,0
SA,65,35.5,1,3,3,13.32,0
PK,66,254.9,3,3,1,3.41,0
ID,65,1.5,1,1,1,4.82,0
EG,65,44.9,1,4,2,3.3,0
EG,77,312.4,3,5,4,41.61,0
US,39,58.6,1,2,2,4.45,1
NG,74,94.4,1,6,3,47.16,0
EG,65,690.6,3,26,10,92.65,0
IN,65,4.7,1,16,8,35.58,0
IN,66,442.5,3,8,5,15.83,0
IT,77,817,3,3,2,8.47,0
EG,128,190.1,2,4,3,19.63,0
EG,70,61.4,1,3,3,27.57,0
CA,66,255.5,2,9,7,35.38,0
PK,65,40.3,1,5,3,5.29,0
PK,67,87.4,1,8,4,32.9,0
SG,163,319.1,3,8,7,125.75,0
IN,65,60.1,1,1,1,3.02,0
PK,65,279.3,1,11,8,39.23,0
NZ,65,95.1,2,1,1,1.97,0
PK,66,373,3,1,1,9,0
PK,66,200.6,2,10,6,39.5,0
IN,66,415.6,3,8,6,12.35,0
ES,91,106.6,1,2,2,11.74,0
EG,70,331.2,5,8,4,61.94,0
TN,65,5.8,1,2,0,22.82,0
EG,66,128.4,1,2,1,20.72,0
PK,65,212.7,2,7,4,32.47,0
SA,65,95.5,2,2,2,26.77,0
IN,116,262.9,3,4,3,11.99,0
KE,65,34.6,3,6,3,54.43,0
GH,66,281.1,3,6,3,28.35,0
EG,66,95,1,2,2,19.21,0
IN,65,73.4,2,1,0,8.73,0
EG,122,109.2,1,4,4,6.56,0
QA,72,348.7,2,4,2,15.88,0
UA,118,256.4,3,3,2,33.04,0
TN,66,300.7,2,6,4,15.92,0
EG,65,454.1,2,45,23,128.49,0
ES,66,97.3,1,1,0,3.82,0
